time,length,src,dst,src_port,dst_port,protocol,ttl
1745488977.620694,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620696,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620698,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620765,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620839,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620841,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620877,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.620929,80,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.621249,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.621251,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.621252,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.621253,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.621255,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.621307,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.621308,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.62138,78,192.168.0.104,74.125.4.9,54103,443,UDP,64
